Section Series,Last Section Series Number,Full Section Designation,Mass Per Metre (kg/m),Depth of Section [h] (mm),Width of Section [b] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r] (mm),Depth between Fillets [d] (mm)
457 x 191,x 89,457 x 191 x 89,89.3,463.4,191.9,10.5,17.7,10.2,407.6
457 x 191,x 82,457 x 191 x 82,82.0,460.0,191.3,9.9,16.0,10.2,407.6
457 x 191,x 74,457 x 191 x 74,74.3,457.0,190.4,9.0,14.5,10.2,407.6
457 x 191,x 67,457 x 191 x 67,67.1,453.4,189.9,8.5,12.7,10.2,407.6
457 x 152,x 82,457 x 152 x 82,82.1,465.8,155.3,10.5,18.9,10.2,407.6
457 x 152,x 74,457 x 152 x 74,74.2,462.0,154.4,9.6,17.0,10.2,407.6
457 x 152,x 67,457 x 152 x 67,67.2,458.0,153.8,9.0,15.0,10.2,407.6
457 x 152,x 60,457 x 152 x 60,59.8,454.6,152.9,8.1,13.3,10.2,407.6
457 x 152,x 52,457 x 152 x 52,52.3,449.8,152.4,7.6,10.9,10.2,407.6
406 x 178,x 85,406 x 178 x 85,85.3,417.2,181.9,10.9,18.2,10.2,360.4
406 x 178,x 74,406 x 178 x 74,74.2,412.8,179.5,9.5,16.0,10.2,360.4
406 x 178,x 67,406 x 178 x 67,67.1,409.4,178.8,8.8,14.3,10.2,360.4
406 x 178,x 60,406 x 178 x 60,60.1,406.4,177.9,7.9,12.8,10.2,360.4
406 x 178,x 54,406 x 178 x 54,54.1,402.6,177.7,7.7,10.9,10.2,360.4
406 x 140,x 53,406 x 140 x 53,53.3,406.6,143.3,7.9,12.9,10.2,360.4
406 x 140,x 46,406 x 140 x 46,46.0,403.2,142.2,6.8,11.2,10.2,360.4
406 x 140,x 39,406 x 140 x 39,39.0,398.0,141.8,6.4,8.6,10.2,360.4
356 x 171,x 67,356 x 171 x 67,67.1,363.4,173.2,9.1,15.7,10.2,311.6
356 x 171,x 57,356 x 171 x 57,57.0,358.0,172.2,8.1,13.0,10.2,311.6
356 x 171,x 51,356 x 171 x 51,51.0,355.0,171.5,7.4,11.5,10.2,311.6
356 x 171,x 45,356 x 171 x 45,45.0,351.4,171.1,7.0,9.7,10.2,311.6
356 x 127,x 39,356 x 127 x 39,39.1,353.4,126.0,6.6,10.7,10.2,311.6
356 x 127,x 33,356 x 127 x 33,33.1,349.0,125.4,6.0,8.5,10.2,311.6
305 x 165,x 54,305 x 165 x 54,54.0,310.4,166.9,7.9,13.7,8.9,265.2
305 x 165,x 46,305 x 165 x 46,46.1,306.6,165.7,6.7,11.8,8.9,265.2
305 x 165,x 40,305 x 165 x 40,40.3,303.4,165.0,6.0,10.2,8.9,265.2
305 x 127,x 48,305 x 127 x 48,48.1,311.0,125.3,9.0,14.0,8.9,265.2
305 x 127,x 42,305 x 127 x 42,41.9,307.2,124.3,8.0,12.1,8.9,265.2
305 x 127,x 37,305 x 127 x 37,37.0,304.4,123.4,7.1,10.7,8.9,265.2
305 x 102,x 33,305 x 102 x 33,32.8,312.7,102.4,6.6,10.8,7.6,275.9
305 x 102,x 28,305 x 102 x 28,28.2,308.7,101.8,6.0,8.8,7.6,275.9
305 x 102,x 25,305 x 102 x 25,24.8,305.1,101.6,5.8,7.0,7.6,275.9
254 x 146,x 43,254 x 146 x 43,43.0,259.6,147.3,7.2,12.7,7.6,219.0
254 x 146,x 37,254 x 146 x 37,37.0,256.0,146.4,6.3,10.9,7.6,219.0
254 x 146,x 31,254 x 146 x 31,31.1,251.4,146.1,6.0,8.6,7.6,219.0
254 x 102,x 28,254 x 102 x 28,28.3,260.4,102.2,6.3,10.0,7.6,225.2
254 x 102,x 25,254 x 102 x 25,25.2,257.2,101.9,6.0,8.4,7.6,225.2
254 x 102,x 22,254 x 102 x 22,22.0,254.0,101.6,5.7,6.8,7.6,225.2
203 x 133,x 30,203 x 133 x 30,30.0,206.8,133.9,6.4,9.6,7.6,172.4
203 x 133,x 25,203 x 133 x 25,25.1,203.2,133.2,5.7,7.8,7.6,172.4
203 x 102,x 23,203 x 102 x 23,23.1,203.2,101.8,5.4,9.3,7.6,169.4
178 x 102,x 19,178 x 102 x 19,19.0,177.8,101.2,4.8,7.9,7.6,146.8
152 x 89,x 16,152 x 89 x 16,16.0,152.4,88.7,4.5,7.7,7.6,121.8
127 x 76,x 13,127 x 76 x 13,13.0,127.0,76.0,4.0,7.6,7.6,96.6
